Year,pdensity
2020,33.67
2019,33.47
2018,33.27
2017,33.07
2016,32.86
2015,32.64
2014,32.41
2013,32.18
2012,31.94
2011,31.69
2010,31.43
2009,31.16
2008,30.87
2007,30.58
2006,30.29
2005,30
2004,29.74
2003,29.48
2002,29.22
2001,28.95
2000,28.65
1999,28.33
1998,27.99
1997,27.64
1996,27.29
1995,26.97
1994,26.67
1993,26.4
1992,26.14
1991,25.89
1990,25.64
1989,25.4
1988,25.16
1987,24.93
1986,24.69
1985,24.46
1984,24.23
1983,24.01
1982,23.78
1981,23.56
1980,23.34
1979,23.12
1978,22.91
1977,22.7
1976,22.49
1975,22.28
1974,22.08
1973,21.89
1972,21.69
1971,21.5
1970,21.31
1969,21.12
1968,20.93
1967,20.74
1966,20.54
1965,20.32
1964,20.08
1963,19.83
1962,19.56
1961,19.28
1960,18.99
1959,18.69
1958,18.39
1957,18.08
1956,17.77
1955,17.46
1954,17.16
1953,16.88
1952,16.61
1951,16.36
1950,16.15
